No   IGT            Start RTA      End RTA        Length     Retime?    Reason / Notice
0    00:14.348      00:14.371      00:37.731      23.360                Paused by player, Unpause by changed look direction
7    1:09:04.189    1:42:53.841    1:42:54.480    0.639      0.639      Paused by player, Unpause by player
8    1:09:04.539    1:42:54.815    1:42:55.319    0.504      0.504      Paused by player, Unpause by player
9    1:09:04.889    1:42:55.654    1:42:56.219    0.565      0.565      Paused by player, Unpause by player
10   1:09:05.239    1:42:56.538    1:42:56.891    0.353      0.353      Paused by player, Unpause by player
11   1:09:05.539    1:42:57.160    1:42:58.269    1.109      1.109      Paused by player, Unpause by player
12   1:09:06.039    1:42:58.722    1:43:00.338    1.616      1.616      Paused by player, Unpause by player
13   1:09:07.589    1:43:01.887    1:43:06.024    4.137      4.137      Paused by player, Unpause by player
14   1:09:12.989    1:43:11.425    1:43:12.611    1.186      1.186      Paused by player, Unpause by player
15   1:09:13.589    1:43:13.180    1:43:15.686    2.506      2.506      Paused by player, Unpause by player
16   1:09:17.789    1:43:19.858    1:43:20.873    1.015      1.015      Paused by player, Unpause by player
17   1:09:22.939    1:43:26.024    1:43:29.223    3.199      3.199      Paused by player, Unpause by player
18   1:09:33.489    1:43:39.773    1:43:41.326    1.553      1.553      Paused by player, Unpause by player
19   1:09:35.539    1:43:43.374    1:43:43.895    0.521      0.521      Paused by player, Unpause by player
20   1:09:35.989    1:43:44.320    1:43:44.822    0.502      0.502      Paused by player, Unpause by player
21   1:09:36.739    1:43:45.547    1:43:46.896    1.349      1.349      Paused by player, Unpause by player
22   1:09:37.239    1:43:47.365    1:43:48.605    1.240      1.240      Paused by player, Unpause by player
23   1:09:38.039    1:43:49.396    1:43:49.930    0.534      0.534      Paused by player, Unpause by player
24   1:09:38.989    1:43:50.886    1:43:51.459    0.573      0.573      Paused by player, Unpause by player
25   1:09:39.439    1:43:51.884    1:43:52.792    0.908      0.908      Paused by player, Unpause by player
26   1:09:39.789    1:43:53.110    1:43:53.663    0.553      0.553      Paused by player, Unpause by player
27   1:09:40.289    1:43:54.130    1:43:55.155    1.025      1.025      Paused by player, Unpause by player
28   1:10:08.489    1:44:23.354    1:44:26.348    2.994      2.994      Paused by player, Unpause by player
29   1:10:09.189    1:44:27.054    1:44:28.085    1.031      1.031      Paused by player, Unpause by player
30   1:10:10.239    1:44:29.110    1:44:29.750    0.640      0.640      Paused by player, Unpause by player
31   1:10:19.389    1:44:38.878    1:44:39.567    0.689      0.689      Paused by player, Unpause by player
32   1:10:30.439    1:44:50.608    1:44:53.227    2.619      2.619      Paused by player, Unpause by player
33   1:10:32.889    1:44:55.644    1:44:56.704    1.060      1.060      Paused by player, Unpause by player
34   1:10:33.239    1:44:57.009    1:44:57.447    0.438      0.438      Paused by player, Unpause by player
35   1:11:05.189    1:45:29.377    1:45:36.086    6.709      6.709      Paused by player, Unpause by player
36   1:11:05.739    1:45:36.607    1:45:48.501    11.894     11.894     Paused by player, Unpause by player
37   1:11:06.389    1:45:49.121    1:45:52.050    2.929      2.929      Paused by player, Unpause by player
38   1:11:35.389    1:46:21.047    1:46:24.916    3.869      3.869      Paused by player, Unpause by player
39   1:11:36.089    1:46:25.604    1:46:26.862    1.258      1.258      Paused by player, Unpause by player
40   1:11:37.339    1:46:28.089    1:46:29.265    1.176      1.176      Paused by player, Unpause by player
41   1:11:39.289    1:46:31.213    1:46:33.186    1.973      1.973      Paused by player, Unpause by player
42   1:12:41.389    1:47:35.264    1:47:37.534    2.270      2.270      Paused by player, Unpause by player
43   1:12:41.989    1:47:38.141    1:47:43.346    5.205      5.205      Paused by player, Unpause by player
44   1:12:50.839    1:47:52.199    1:47:54.559    2.360      2.360      Paused by player, Unpause by player
45   1:41:47.589    2:16:51.641    2:16:52.628    0.987      0.987      Paused by player, Unpause by player
46   1:45:11.789    2:20:16.868    2:25:16.132    299.264    299.264    Paused by player, Unpause by player
47   1:45:31.639    2:25:35.968    2:25:36.622    0.654      0.654      Paused by player, Unpause by player
48   1:45:32.639    2:25:37.613    2:25:38.042    0.429      0.429      Paused by player, Unpause by player
49   1:45:33.289    2:25:38.656    2:25:39.690    1.034      1.034      Paused by player, Unpause by player
50   1:45:34.489    2:25:40.873    2:25:41.659    0.786      0.786      Paused by player, Unpause by player
51   1:45:51.039    2:25:58.202    2:25:58.676    0.474      0.474      Paused by player, Unpause by player
52   1:45:56.389    2:26:04.002    2:26:14.932    10.930     10.930     Paused by player, Unpause by player
53   1:46:37.789    2:26:56.326    2:26:59.483    3.157      3.157      Paused by player, Unpause by player
54   1:46:39.489    2:27:01.168    2:27:01.687    0.519      0.519      Paused by player, Unpause by player
55   1:46:41.039    2:27:03.197    2:27:03.749    0.552      0.552      Paused by player, Unpause by player
56   1:46:41.489    2:27:04.173    2:27:04.866    0.693      0.693      Paused by player, Unpause by player
57   1:46:42.439    2:27:05.790    2:27:06.411    0.621      0.621      Paused by player, Unpause by player
58   1:46:42.939    2:27:06.915    2:27:07.462    0.547      0.547      Paused by player, Unpause by player
59   1:46:44.439    2:27:08.966    2:27:09.325    0.359      0.359      Paused by player, Unpause by player
60   1:46:45.339    2:27:10.223    2:27:10.793    0.570      0.570      Paused by player, Unpause by player
61   1:46:46.839    2:27:12.275    2:27:13.397    1.122      1.122      Paused by player, Unpause by player
62   1:46:47.289    2:27:13.857    2:27:14.204    0.347      0.347      Paused by player, Unpause by player
63   1:46:47.639    2:27:14.560    2:27:15.160    0.600      0.600      Paused by player, Unpause by player
64   1:47:05.939    2:27:33.418    2:27:34.053    0.635      0.635      Paused by player, Unpause by player
65   1:47:06.489    2:27:34.570    2:27:35.142    0.572      0.572      Paused by player, Unpause by player
66   1:47:17.239    2:27:45.889    2:27:47.830    1.941      1.941      Paused by player, Unpause by player
67   1:47:17.789    2:27:48.339    2:27:56.400    8.061      8.061      Paused by player, Unpause by player
68   1:47:46.789    2:28:25.392    2:28:26.177    0.785      0.785      Paused by player, Unpause by player
69   1:47:52.689    2:28:32.050    2:28:34.053    2.003      2.003      Paused by player, Unpause by player
70   1:47:53.589    2:28:34.915    2:28:35.360    0.445      0.445      Paused by player, Unpause by player
71   1:47:54.089    2:28:35.830    2:28:36.235    0.405      0.405      Paused by player, Unpause by player
72   1:48:16.539    2:28:58.656    2:28:59.196    0.540      0.540      Paused by player, Unpause by player
73   1:48:18.189    2:29:00.827    2:29:02.641    1.814      1.814      Paused by player, Unpause by player
74   1:48:25.839    2:29:10.247    2:29:10.733    0.486      0.486      Paused by player, Unpause by player
75   1:48:26.389    2:29:11.267    2:29:12.054    0.787      0.787      Paused by player, Unpause by player
76   1:48:32.239    2:29:17.896    2:29:18.441    0.545      0.545      Paused by player, Unpause by player
77   1:48:39.939    2:29:26.142    2:29:26.516    0.374      0.374      Paused by player, Unpause by player
78   1:48:40.289    2:29:26.840    2:29:27.321    0.481      0.481      Paused by player, Unpause by player
79   1:48:40.789    2:29:27.818    2:29:28.221    0.403      0.403      Paused by player, Unpause by player
